Xl                        | Xu                        | F(Xl)                     | F(Xu)                     | Xr                        | F(Xr)                     | 
-1.0                      | -3.00000000000000         | 3.0                       | 53.0000000000000          | -0.785714285714286        | -1.97011661807580         | 
-0.785714285714286        | -1.97011661807580         | 3.0                       | 53.0000000000000          | -0.650035137034434        | -1.54933907719736         | 
-0.650035137034434        | -1.54933907719736         | 3.0                       | 53.0000000000000          | -0.546364915421890        | -1.32619583109552         | 
-0.546364915421890        | -1.32619583109552         | 3.0                       | 53.0000000000000          | -0.459792051365690        | -1.19440810774557         | 
-0.459792051365690        | -1.19440810774557         | 3.0                       | 53.0000000000000          | -0.383540574109050        | -1.11284022349123         | 
-0.383540574109050        | -1.11284022349123         | 3.0                       | 53.0000000000000          | -0.313957457918291        | -1.06189312453503         | 
-0.313957457918291        | -1.06189312453503         | 3.0                       | 53.0000000000000          | -0.248864128103543        | -1.03082598041526         | 
-0.248864128103543        | -1.03082598041526         | 3.0                       | 53.0000000000000          | -0.186880741965743        | -1.01305339994903         | 
-0.186880741965743        | -1.01305339994903         | 3.0                       | 53.0000000000000          | -0.127108517148631        | -1.00410727661439         | 
-0.127108517148631        | -1.00410727661439         | 3.0                       | 53.0000000000000          | -0.0689656725544477       | -1.00065603788996         | 
-0.0689656725544477       | -1.00065603788996         | 3.0                       | 53.0000000000000          | -0.0120963814079875       | -1.00000353994416         | 
-0.0120963814079875       | -1.00000353994416         | 3.0                       | 53.0000000000000          | 0.0436833750106008        | -0.999833283512996        | 
0.0436833750106008        | -0.999833283512996        | 3.0                       | 53.0000000000000          | 0.0984210210094018        | -0.998093250707985        | 
0.0984210210094018        | -0.998093250707985        | 3.0                       | 53.0000000000000          | 0.152053403580405         | -0.992968978380794        | 
0.152053403580405         | -0.992968978380794        | 3.0                       | 53.0000000000000          | 0.204429160569471         | -0.982913286729517        | 
0.204429160569471         | -0.982913286729517        | 3.0                       | 53.0000000000000          | 0.255330520921679         | -0.966708130046750        | 
0.255330520921679         | -0.966708130046750        | 3.0                       | 53.0000000000000          | 0.304495911801597         | -0.943535642072133        | 
0.304495911801597         | -0.943535642072133        | 3.0                       | 53.0000000000000          | 0.351643436528967         | -0.913036393418136        | 
0.351643436528967         | -0.913036393418136        | 3.0                       | 53.0000000000000          | 0.396494294261254         | -0.875336067744708        | 
0.396494294261254         | -0.875336067744708        | 3.0                       | 53.0000000000000          | 0.438794586252874         | -0.831028376132771        | 
0.438794586252874         | -0.831028376132771        | 3.0                       | 53.0000000000000          | 0.478333759850985         | -0.781111423728196        | 
0.478333759850985         | -0.781111423728196        | 3.0                       | 53.0000000000000          | 0.514958185320577         | -0.726884786387482        | 
0.514958185320577         | -0.726884786387482        | 3.0                       | 53.0000000000000          | 0.548578952573490         | -0.669822542878272        | 
0.548578952573490         | -0.669822542878272        | 3.0                       | 53.0000000000000          | 0.579173744988551         | -0.611441338456516        | 
0.579173744988551         | -0.611441338456516        | 3.0                       | 53.0000000000000          | 0.606783397118405         | -0.553181585840033        | 
0.606783397118405         | -0.553181585840033        | 3.0                       | 53.0000000000000          | 0.631504306622516         | -0.496315083493628        | 
0.631504306622516         | -0.496315083493628        | 3.0                       | 53.0000000000000          | 0.653478159138867         | -0.441885601823397        | 
0.653478159138867         | -0.441885601823397        | 3.0                       | 53.0000000000000          | 0.672880435165694         | -0.390682434562207        | 
0.672880435165694         | -0.390682434562207        | 3.0                       | 53.0000000000000          | 0.689908963284268         | -0.343242021172659        | 
0.689908963284268         | -0.343242021172659        | 3.0                       | 53.0000000000000          | 0.704773457576168         | -0.299870116422667        | 
0.704773457576168         | -0.299870116422667        | 3.0                       | 53.0000000000000          | 0.717686619446725         | -0.260676444162278        | 
0.717686619446725         | -0.260676444162278        | 3.0                       | 53.0000000000000          | 0.728857062186601         | -0.225614710726633        | 
0.728857062186601         | -0.225614710726633        | 3.0                       | 53.0000000000000          | 0.738484067148751         | -0.194522552590753        | 
0.738484067148751         | -0.194522552590753        | 3.0                       | 53.0000000000000          | 0.746754013580697         | -0.167157858642097        | 
0.746754013580697         | -0.167157858642097        | 3.0                       | 53.0000000000000          | 0.753838232283625         | -0.143229558831097        | 
0.753838232283625         | -0.143229558831097        | 3.0                       | 53.0000000000000          | 0.759891999842052         | -0.122422232161907        | 
0.759891999842052         | -0.122422232161907        | 3.0                       | 53.0000000000000          | 0.765054396625553         | -0.104414730826764        | 
0.765054396625553         | -0.104414730826764        | 3.0                       | 53.0000000000000          | 0.769448781626719         | -0.0888935008274464       | 
0.769448781626719         | -0.0888935008274464       | 3.0                       | 53.0000000000000          | 0.773183677826298         | -0.0755614925456571       | 
0.773183677826298         | -0.0755614925456571       | 3.0                       | 53.0000000000000          | 0.776353904578437         | -0.0641435876940113       | 
0.776353904578437         | -0.0641435876940113       | 3.0                       | 53.0000000000000          | 0.779041833350649         | -0.0543893966661709       | 
0.779041833350649         | -0.0543893966661709       | 3.0                       | 53.0000000000000          | 0.781318677473794         | -0.0460741570634288       | 
0.781318677473794         | -0.0460741570634288       | 3.0                       | 53.0000000000000          | 0.783245754516764         | -0.0389983258877075       | 
0.783245754516764         | -0.0389983258877075       | 3.0                       | 53.0000000000000          | 0.784875681687469         | -0.0329863255234286       | 
0.784875681687469         | -0.0329863255234286       | 3.0                       | 53.0000000000000          | 0.786253480995058         | -0.0278847876831564       | 
0.786253480995058         | -0.0278847876831564       | 3.0                       | 53.0000000000000          | 0.787417582710862         | -0.0235605437378413       | 
